N°,Study-ID,Continent,Country,City,Population group,Population group_3,Sample size,gB1_n,gB1_p,gB2_n,gB2_p,gB3_n,gB3_p,gB4_n,gB4_p,gBoth_n,gBoth_p,suma
63,"Nijman, 2014",europe,The Netherlands,Utrecht,newborns,infant,13,"6,00","46,15","2,00","15,38","3,00","23,08","2,00","15,38","0,00","0,00","13,00"
66,"Brañas, 2015",europe,Spain,Madrid,fetus and newborns,infant,48,"17,00","35,42","13,00","27,08","12,00","25,00","6,00","12,50","0,00","0,00","48,00"
66,"Brañas, 2015",europe,Spain,Madrid,infant,infant,58,"27,00","46,55","15,00","25,86","14,00","24,14","1,00","1,72","1,00","1,72","58,00"
67,"Ding, 2015",asia,China,Wuxi,pregnants,pregnants,731,"262,00","35,84","133,00","18,19","203,00","27,77","61,00","8,34","72,00","9,85","731,00"
68,"Gonzalez-Sanchez, 2015",america,Mexico,San Luis Potosi,infant,infant,30,"22,00","73,33","6,00","20,00","2,00","6,67","0,00","0,00","0,00","0,00","30,00"
68,"Gonzalez-Sanchez, 2015",america,Mexico,San Luis Potosi,pregnants,pregnants,38,"12,00","31,58","25,00","65,79","1,00","2,63","0,00","0,00","0,00","0,00","38,00"
68,"Gonzalez-Sanchez, 2015",america,Mexico,San Luis Potosi,newborns,infant,8,"4,00","50,00","4,00","50,00","0,00","0,00","0,00","0,00","0,00","0,00","8,00"
69,"Görzer, 2015",europe,Austria,Vienna,newborns,infant,17,"10,00","58,82","3,00","17,65","3,00","17,65","1,00","5,88","0,00","0,00","17,00"
72,"Paradowska, 2015",europe,Poland,Lodz,infant,infant,90,"21,00","23,33","55,00","61,11","7,00","7,78","1,00","1,11","6,00","6,67","90,00"
72,"Paradowska, 2015",europe,Poland,Lodz,newborns,infant,60,"13,00","21,67","45,00","75,00","2,00","3,33","0,00","0,00","0,00","0,00","60,00"
73,"Rycel, 2014",europe,Poland,Lodz,pregnants,pregnants,18,"0,00","0,00","11,00","61,11","1,00","5,56","2,00","11,11","4,00","22,22","18,00"
73,"Rycel, 2014",europe,Poland,Lodz,newborns,infant,5,"0,00","0,00","1,00","20,00","0,00","0,00","0,00","0,00","4,00","80,00","5,00"
73,"Rycel, 2014",europe,Poland,Lodz,fetus,fetus,9,"1,00","11,11","6,00","66,67","0,00","0,00","0,00","0,00","2,00","22,22","9,00"
74,"Sahiner, 2015",asia,Turkey,Ankara,newborns,infant,18,"13,00","72,22","3,00","16,67","0,00","0,00","0,00","0,00","2,00","11,11","18,00"
75,"Chen, 2016",asia,China,Chengdu,infant,infant,134,"102,00","76,12","1,00","0,75","26,00","19,40","0,00","0,00","5,00","3,73","134,00"
76,"Correa, 2016",america,Cuba,Havana,pregnants,pregnants,18,"1,00","5,56","9,00","50,00","4,00","22,22","2,00","11,11","2,00","11,11","18,00"
76,"Correa, 2016",america,Cuba,Havana,newborns,infant,45,"2,00","4,44","23,00","51,11","3,00","6,67","9,00","20,00","8,00","17,78","45,00"
77,"Eren Dağlar, 2016",asia,Turkey,Aegean,pregnants,pregnants,1,"0,00","0,00","1,00","100,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00"
77,"Eren Dağlar, 2016",asia,Turkey,Anatolia,newborns,infant,12,"5,00","41,67","2,00","16,67","4,00","33,33","1,00","8,33","0,00","0,00","12,00"
78,"Mujtaba, 2016",asia,Pakistan,Islamabad,newborns,infant,10,"4,00","40,00","2,00","20,00","3,00","30,00","1,00","10,00","0,00","0,00","10,00"
79,"Kadambari, 2016",europe,UK,London,infant,infant,8,"2,00","25,00","2,00","25,00","0,00","0,00","0,00","0,00","4,00","50,00","8,00"
81,"Garcia de Figueiredo, 2018",america,Brazil,São Paulo,newborns,infant,13,"1,00","7,69","8,00","61,54","3,00","23,08","1,00","7,69","0,00","0,00","13,00"
83,"Alwan, 2019",asia,Iraq,Baghdad,newborns,infant,23,"5,00","21,74","4,00","17,39","13,00","56,52","0,00","0,00","1,00","4,35","23,00"
86,"Sarkar, 2019",asia,India,West Bengal,newborns,infant,17,"4,00","23,53","3,00","17,65","3,00","17,65","1,00","5,88","6,00","35,29","17,00"
87,"Alain, 2020",europe,France,Limoges,infant,infant,174,"67,00","38,51","24,00","13,79","41,00","23,56","28,00","16,09","14,00","8,05","174,00"
88,"Dong, 2020",asia,China,Changhai,newborn and infants,infant,110,"63,00","57,27","0,00","0,00","46,00","41,82","1,00","0,91","0,00","0,00","110,00"
89,"Hu, 2020",asia,China,Hubei,infant,infant,70,"41,00","58,57","15,00","21,43","13,00","18,57","0,00","0,00","1,00","1,43","70,00"
90,"Lee, 2020",asia,Taiwan,Changhua,pregnants,pregnants,38,"4,00","10,53","31,00","81,58","0,00","0,00","0,00","0,00","3,00","7,89","38,00"
90,"Lee, 2020",asia,Taiwan,Changhua,newborns,infant,40,"9,00","22,50","30,00","75,00","1,00","2,50","0,00","0,00","0,00","0,00","40,00"
92,"Puhakka, 2020",europe,Finland,Helsinki,newborns,infant,37,"19,00","51,35","7,00","18,92","9,00","24,32","2,00","5,41","0,00","0,00","37,00"
93,"Hu, 2020",asia,China,Wuhan,newborn and infants,infant,28,"17,00","60,71","5,00","17,86","5,00","17,86","0,00","0,00","1,00","3,57","28,00"
94,"Hu, 2020",asia,China,Wuhan,newborns,infant,75,"36,00","48,00","20,00","26,67","19,00","25,33","0,00","0,00","0,00","0,00","75,00"
